Species,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,,Species,Plantation,Open Heathland,Ancient Caledonian,,,,P1,P2,P3,,O1,O2,O3,,C1,C2,C3,,,Plantation,Open,Cale
Branta leucopsis_Barnacle Goose,0,0,0,0,0,0,0,0,0,,Branta leucopsis_Barnacle Goose,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Bubo scandiacus_Snowy Owl,0,0,0,0,0,0,0,0,0,,Bubo scandiacus_Snowy Owl,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Bucephala clangula_Common Goldeneye,0,0,0,0,0,0,0,0,0,,Bucephala clangula_Common Goldeneye,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Buteo buteo_Common Buzzard,0,0,0,0,0,0,0,0,0,,Buteo buteo_Common Buzzard,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Calcarius lapponicus_Lapland Longspur,0,0,0,0,0,0,0,0,0,,Calcarius lapponicus_Lapland Longspur,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Calidris alba_Sanderling,0,0,0,0,0,0,0,0,0,,Calidris alba_Sanderling,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Calidris alpina_Dunlin,0,0,0,0,0,0,0,0,0,,Calidris alpina_Dunlin,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Calidris canutus_Red Knot,0,0,0,0,0,0,0,0,0,,Calidris canutus_Red Knot,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Calidris ferruginea_Curlew Sandpiper,0,0,0,0,0,0,0,0,0,,Calidris ferruginea_Curlew Sandpiper,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Calidris maritima_Purple Sandpiper,0,0,0,0,0,0,0,0,0,,Calidris maritima_Purple Sandpiper,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Calidris minuta_Little Stint,0,0,0,0,0,0,0,0,0,,Calidris minuta_Little Stint,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Calidris pugnax_Ruff,0,0,0,0,0,0,0,0,0,,Calidris pugnax_Ruff,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Carduelis carduelis_European Goldfinch,0,0,0,0,0,0,0,0,0,,Carduelis carduelis_European Goldfinch,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Cepphus grylle_Black Guillemot,0,0,0,0,0,0,0,0,0,,Cepphus grylle_Black Guillemot,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Certhia familiaris_Eurasian Treecreeper,1,1,1,0,1,1,1,1,1,,Certhia familiaris_Eurasian Treecreeper,,,,,,,1,1,1,,1,1,0,,1,1,1,,,1,1,1
Charadrius hiaticula_Common Ringed Plover,0,0,0,0,0,0,0,0,0,,Charadrius hiaticula_Common Ringed Plover,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Chloris chloris_European Greenfinch,0,0,0,0,0,0,0,0,0,,Chloris chloris_European Greenfinch,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Chroicocephalus ridibundus_Black-headed Gull,0,0,0,0,0,0,0,0,0,,Chroicocephalus ridibundus_Black-headed Gull,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Cinclus cinclus_White-throated Dipper,0,0,0,0,0,0,0,0,0,,Cinclus cinclus_White-throated Dipper,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Circus aeruginosus_Eurasian Marsh-Harrier,0,0,0,0,0,0,0,0,0,,Circus aeruginosus_Eurasian Marsh-Harrier,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Circus cyaneus_Hen Harrier,0,0,0,0,0,0,0,0,0,,Circus cyaneus_Hen Harrier,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Clangula hyemalis_Long-tailed Duck,0,0,0,0,0,0,0,0,0,,Clangula hyemalis_Long-tailed Duck,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Columba livia_Rock Pigeon,0,0,0,0,0,0,0,0,0,,Columba livia_Rock Pigeon,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Columba oenas_Stock Dove,0,0,0,0,0,0,0,0,0,,Columba oenas_Stock Dove,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Columba palumbus_Common Wood-Pigeon,0,0,0,0,0,0,1,0,0,,Columba palumbus_Common Wood-Pigeon,,,,,,,0,0,0,,0,0,0,,1,0,0,,,0,0,1
