Species,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,,Species,Plantation,Open Heathland,Ancient Caledonian,,,,P1,P2,P3,,O1,O2,O3,,C1,C2,C3,,,Plantation,Open,Cale
Phylloscopus inornatus_Yellow-browed Warbler,0,0,0,0,0,0,0,0,0,,Phylloscopus inornatus_Yellow-browed Warbler,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Phylloscopus sibilatrix_Wood Warbler,0,0,0,0,0,0,1,0,0,,Phylloscopus sibilatrix_Wood Warbler,,,,,,,0,0,0,,0,0,0,,1,0,0,,,0,0,1
Phylloscopus trochilus_Willow Warbler,0,0,0,0,0,0,0,0,0,,Phylloscopus trochilus_Willow Warbler,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Pica pica_Eurasian Magpie,0,0,0,0,0,0,0,0,0,,Pica pica_Eurasian Magpie,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Picus viridis_Eurasian Green Woodpecker,0,0,0,0,0,0,0,0,0,,Picus viridis_Eurasian Green Woodpecker,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Plectrophenax nivalis_Snow Bunting,0,1,0,1,0,0,0,0,0,,Plectrophenax nivalis_Snow Bunting,,,,,,,0,0,0,,1,0,1,,0,0,0,,,0,1,0
Pluvialis apricaria_European Golden-Plover,0,0,0,0,0,0,0,0,1,,Pluvialis apricaria_European Golden-Plover,,,,,,,0,0,0,,0,0,0,,0,0,1,,,0,0,1
Pluvialis squatarola_Black-bellied Plover,0,0,0,0,0,0,0,0,0,,Pluvialis squatarola_Black-bellied Plover,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Podiceps auritus_Horned Grebe,0,0,0,0,0,0,0,0,0,,Podiceps auritus_Horned Grebe,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Podiceps cristatus_Great Crested Grebe,0,0,0,0,0,0,0,0,0,,Podiceps cristatus_Great Crested Grebe,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Prunella modularis_Dunnock,1,1,1,0,0,0,0,1,1,,Prunella modularis_Dunnock,,,,,,,1,0,0,,1,1,0,,0,1,1,,,1,1,1
Puffinus puffinus_Manx Shearwater,0,0,0,0,0,0,0,0,0,,Puffinus puffinus_Manx Shearwater,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Pyrrhocorax pyrrhocorax_Red-billed Chough,0,0,0,0,0,0,0,0,0,,Pyrrhocorax pyrrhocorax_Red-billed Chough,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Pyrrhula pyrrhula_Eurasian Bullfinch,0,0,0,0,0,0,0,0,1,,Pyrrhula pyrrhula_Eurasian Bullfinch,,,,,,,0,0,0,,0,0,0,,0,0,1,,,0,0,1
Rallus aquaticus_Water Rail,0,0,0,0,0,0,0,0,0,,Rallus aquaticus_Water Rail,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Regulus regulus_Goldcrest,1,1,1,1,1,1,1,1,1,,Regulus regulus_Goldcrest,,,,,,,1,1,1,,1,1,1,,1,1,1,,,1,1,1
Riparia riparia_Bank Swallow,0,0,0,0,0,0,0,0,0,,Riparia riparia_Bank Swallow,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Rissa tridactyla_Black-legged Kittiwake,0,0,0,0,0,0,0,0,0,,Rissa tridactyla_Black-legged Kittiwake,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Saxicola rubetra_Whinchat,0,0,0,0,0,0,0,0,0,,Saxicola rubetra_Whinchat,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Saxicola rubicola_European Stonechat,0,0,0,1,0,0,0,0,0,,Saxicola rubicola_European Stonechat,,,,,,,0,0,0,,0,0,1,,0,0,0,,,0,1,0
Scolopax rusticola_Eurasian Woodcock,0,0,0,0,0,0,0,0,0,,Scolopax rusticola_Eurasian Woodcock,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Sitta europaea_Eurasian Nuthatch,0,0,0,0,0,0,0,0,0,,Sitta europaea_Eurasian Nuthatch,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Somateria mollissima_Common Eider,0,0,0,0,0,0,0,0,0,,Somateria mollissima_Common Eider,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Spatula clypeata_Northern Shoveler,0,0,0,0,0,0,0,0,0,,Spatula clypeata_Northern Shoveler,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Spatula querquedula_Garganey,0,0,0,0,0,0,0,0,0,,Spatula querquedula_Garganey,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Spinus spinus_Eurasian Siskin,1,1,1,1,1,1,1,1,1,,Spinus spinus_Eurasian Siskin,,,,,,,1,1,1,,1,1,1,,1,1,1,,,1,1,1
Stercorarius parasiticus_Parasitic Jaeger,0,0,0,0,0,0,0,0,0,,Stercorarius parasiticus_Parasitic Jaeger,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Stercorarius skua_Great Skua,0,0,0,0,0,0,0,0,0,,Stercorarius skua_Great Skua,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Sterna hirundo_Common Tern,0,0,0,0,0,0,0,0,0,,Sterna hirundo_Common Tern,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Sterna paradisaea_Arctic Tern,0,0,0,0,0,0,0,0,0,,Sterna paradisaea_Arctic Tern,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Streptopelia decaocto_Eurasian Collared-Dove,0,0,0,0,0,0,0,0,0,,Streptopelia decaocto_Eurasian Collared-Dove,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Strix aluco_Tawny Owl,1,0,0,1,0,0,0,0,0,,Strix aluco_Tawny Owl,,,,,,,1,0,0,,0,0,1,,0,0,0,,,1,1,0
Sturnus vulgaris_European Starling,0,0,0,0,0,0,0,0,0,,Sturnus vulgaris_European Starling,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Sylvia atricapilla_Eurasian Blackcap,0,0,0,0,0,0,0,0,0,,Sylvia atricapilla_Eurasian Blackcap,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Sylvia borin_Garden Warbler,0,0,0,0,0,0,0,0,0,,Sylvia borin_Garden Warbler,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Tachybaptus ruficollis_Little Grebe,0,0,0,0,0,0,0,0,0,,Tachybaptus ruficollis_Little Grebe,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Tadorna tadorna_Common Shelduck,0,0,0,0,0,0,0,0,0,,Tadorna tadorna_Common Shelduck,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Thalasseus sandvicensis_Sandwich Tern,0,0,0,0,0,0,0,0,0,,Thalasseus sandvicensis_Sandwich Tern,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Tringa erythropus_Spotted Redshank,0,0,0,0,0,0,0,0,0,,Tringa erythropus_Spotted Redshank,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Tringa glareola_Wood Sandpiper,0,1,0,0,0,0,0,0,0,,Tringa glareola_Wood Sandpiper,,,,,,,0,0,0,,1,0,0,,0,0,0,,,0,1,0
Tringa nebularia_Common Greenshank,0,0,0,0,0,0,0,0,0,,Tringa nebularia_Common Greenshank,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Tringa ochropus_Green Sandpiper,0,0,0,0,0,0,0,0,0,,Tringa ochropus_Green Sandpiper,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Tringa totanus_Common Redshank,0,0,0,0,0,0,0,0,0,,Tringa totanus_Common Redshank,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Troglodytes troglodytes_Eurasian Wren,1,1,1,0,1,0,1,1,1,,Troglodytes troglodytes_Eurasian Wren,,,,,,,1,1,0,,1,1,0,,1,1,1,,,1,1,1
Turdus iliacus_Redwing,0,0,0,0,1,1,1,0,0,,Turdus iliacus_Redwing,,,,,,,0,1,1,,0,0,0,,1,0,0,,,1,0,1
Turdus merula_Eurasian Blackbird,0,0,0,0,0,0,0,0,0,,Turdus merula_Eurasian Blackbird,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Turdus philomelos_Song Thrush,1,0,0,0,0,0,1,1,0,,Turdus philomelos_Song Thrush,,,,,,,1,0,0,,0,0,0,,1,1,0,,,1,0,1
Turdus pilaris_Fieldfare,0,0,0,0,0,0,0,0,0,,Turdus pilaris_Fieldfare,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Turdus torquatus_Ring Ouzel,0,0,0,0,0,0,0,0,0,,Turdus torquatus_Ring Ouzel,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Turdus viscivorus_Mistle Thrush,0,0,0,0,0,0,1,1,0,,Turdus viscivorus_Mistle Thrush,,,,,,,0,0,0,,0,0,0,,1,1,0,,,0,0,1
Tyto alba_Barn Owl,0,0,0,0,0,0,0,0,0,,Tyto alba_Barn Owl,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Uria aalge_Common Murre,0,0,0,0,0,0,0,0,0,,Uria aalge_Common Murre,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Vanellus vanellus_Northern Lapwing,0,0,0,0,0,0,0,0,0,,Vanellus vanellus_Northern Lapwing,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
species_richness,16,16,17,11,14,8,18,14,18,,,,,,,,,,,,,,,,,,,,,,,,
